userId,movieId,tag,timestamp,tag_clean,tag_datetime,tag_year,title,genres,movie_year
2,60756,funny,1445714994,funny,2015-10-24 19:29:54+00:00,2015,Step Brothers (2008),Comedy,2008.0
2,60756,Highly quotable,1445714996,highly quotable,2015-10-24 19:29:56+00:00,2015,Step Brothers (2008),Comedy,2008.0
2,60756,will ferrell,1445714992,will ferrell,2015-10-24 19:29:52+00:00,2015,Step Brothers (2008),Comedy,2008.0
2,89774,Boxing story,1445715207,boxing story,2015-10-24 19:33:27+00:00,2015,Warrior (2011),Drama,2011.0
2,89774,MMA,1445715200,mma,2015-10-24 19:33:20+00:00,2015,Warrior (2011),Drama,2011.0
2,89774,Tom Hardy,1445715205,tom hardy,2015-10-24 19:33:25+00:00,2015,Warrior (2011),Drama,2011.0
2,106782,drugs,1445715054,drugs,2015-10-24 19:30:54+00:00,2015,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,2013.0
2,106782,Leonardo DiCaprio,1445715051,leonardo dicaprio,2015-10-24 19:30:51+00:00,2015,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,2013.0
2,106782,Martin Scorsese,1445715056,martin scorsese,2015-10-24 19:30:56+00:00,2015,"Wolf of Wall Street, The (2013)",Comedy|Crime|Drama,2013.0
7,48516,way too long,1169687325,way too long,2007-01-25 01:08:45+00:00,2007,"Departed, The (2006)",Crime|Drama|Thriller,2006.0
18,431,Al Pacino,1462138765,al pacino,2016-05-01 21:39:25+00:00,2016,Carlito's Way (1993),Crime|Drama,1993.0
18,431,gangster,1462138749,gangster,2016-05-01 21:39:09+00:00,2016,Carlito's Way (1993),Crime|Drama,1993.0
18,431,mafia,1462138755,mafia,2016-05-01 21:39:15+00:00,2016,Carlito's Way (1993),Crime|Drama,1993.0
18,1221,Al Pacino,1461699306,al pacino,2016-04-26 19:35:06+00:00,2016,"Godfather: Part II, The (1974)",Crime|Drama,1974.0
18,1221,Mafia,1461699303,mafia,2016-04-26 19:35:03+00:00,2016,"Godfather: Part II, The (1974)",Crime|Drama,1974.0
18,5995,holocaust,1455735472,holocaust,2016-02-17 18:57:52+00:00,2016,"Pianist, The (2002)",Drama|War,2002.0
18,5995,true story,1455735479,true story,2016-02-17 18:57:59+00:00,2016,"Pianist, The (2002)",Drama|War,2002.0
18,44665,twist ending,1456948283,twist ending,2016-03-02 19:51:23+00:00,2016,Lucky Number Slevin (2006),Crime|Drama|Mystery,2006.0
18,52604,Anthony Hopkins,1457650696,anthony hopkins,2016-03-10 22:58:16+00:00,2016,Fracture (2007),Crime|Drama|Mystery|Thriller,2007.0
18,52604,courtroom drama,1457650711,courtroom drama,2016-03-10 22:58:31+00:00,2016,Fracture (2007),Crime|Drama|Mystery|Thriller,2007.0
18,52604,twist ending,1457650682,twist ending,2016-03-10 22:58:02+00:00,2016,Fracture (2007),Crime|Drama|Mystery|Thriller,2007.0
18,88094,britpop,1457444500,britpop,2016-03-08 13:41:40+00:00,2016,Upside Down: The Creation Records Story (2010),Documentary,2010.0
18,88094,indie record label,1457444592,indie record label,2016-03-08 13:43:12+00:00,2016,Upside Down: The Creation Records Story (2010),Documentary,2010.0
18,88094,music,1457444609,music,2016-03-08 13:43:29+00:00,2016,Upside Down: The Creation Records Story (2010),Documentary,2010.0
18,144210,dumpster diving,1455060381,dumpster diving,2016-02-09 23:26:21+00:00,2016,Just Eat It: A Food Waste Story (2014),Documentary,2014.0
18,144210,Sustainability,1455060452,sustainability,2016-02-09 23:27:32+00:00,2016,Just Eat It: A Food Waste Story (2014),Documentary,2014.0
21,1569,romantic comedy,1419805413,romantic comedy,2014-12-28 22:23:33+00:00,2014,My Best Friend's Wedding (1997),Comedy|Romance,1997.0
21,1569,wedding,1419805419,wedding,2014-12-28 22:23:39+00:00,2014,My Best Friend's Wedding (1997),Comedy|Romance,1997.0
21,118985,painter,1419805477,painter,2014-12-28 22:24:37+00:00,2014,Big Eyes (2014),Drama,2014.0
21,119141,bloody,1419793962,bloody,2014-12-28 19:12:42+00:00,2014,The Interview (2014),Action|Comedy,2014.0
49,109487,black hole,1493093306,black hole,2017-04-25 04:08:26+00:00,2017,Interstellar (2014),Sci-Fi|IMAX,2014.0
49,109487,sci-fi,1493093332,sci-fi,2017-04-25 04:08:52+00:00,2017,Interstellar (2014),Sci-Fi|IMAX,2014.0
49,109487,time-travel,1493093356,time-travel,2017-04-25 04:09:16+00:00,2017,Interstellar (2014),Sci-Fi|IMAX,2014.0
62,2,fantasy,1528843929,fantasy,2018-06-12 22:52:09+00:00,2018,Jumanji (1995),Adventure|Children|Fantasy,1995.0
62,2,magic board game,1528843932,magic board game,2018-06-12 22:52:12+00:00,2018,Jumanji (1995),Adventure|Children|Fantasy,1995.0
62,2,Robin Williams,1528843907,robin williams,2018-06-12 22:51:47+00:00,2018,Jumanji (1995),Adventure|Children|Fantasy,1995.0
62,110,beautiful scenery,1528152541,beautiful scenery,2018-06-04 22:49:01+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,epic,1528152532,epic,2018-06-04 22:48:52+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,historical,1528152523,historical,2018-06-04 22:48:43+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,inspirational,1528152527,inspirational,2018-06-04 22:48:47+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,Medieval,1528152528,medieval,2018-06-04 22:48:48+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,mel gibson,1528152521,mel gibson,2018-06-04 22:48:41+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,Oscar (Best Cinematography),1528152539,oscar (best cinematography),2018-06-04 22:48:59+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,revenge,1528152531,revenge,2018-06-04 22:48:51+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,110,sword fight,1528152535,sword fight,2018-06-04 22:48:55+00:00,2018,Braveheart (1995),Action|Drama|War,1995.0
62,410,black comedy,1525636607,black comedy,2018-05-06 19:56:47+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,410,Christina Ricci,1525636685,christina ricci,2018-05-06 19:58:05+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,410,Christopher Lloyd,1525636622,christopher lloyd,2018-05-06 19:57:02+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,410,dark comedy,1525636610,dark comedy,2018-05-06 19:56:50+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,410,family,1525636708,family,2018-05-06 19:58:28+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,410,gothic,1525636609,gothic,2018-05-06 19:56:49+00:00,2018,Addams Family Values (1993),Children|Comedy|Fantasy,1993.0
62,2023,Al Pacino,1525636728,al pacino,2018-05-06 19:58:48+00:00,2018,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,1990.0
62,2023,Andy Garcia,1525636768,andy garcia,2018-05-06 19:59:28+00:00,2018,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,1990.0
62,2023,Classic,1525636752,classic,2018-05-06 19:59:12+00:00,2018,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,1990.0
62,2023,Francis Ford Coppola,1525636752,francis ford coppola,2018-05-06 19:59:12+00:00,2018,"Godfather: Part III, The (1990)",Crime|Drama|Mystery|Thriller,1990.0
